Task,Metric,ViewingCondition,FriedmanChi2,FriedmanP,Difficulty,W,p-value,difference_median
denoising,MeanAccuracy,EGOCENTRIC,5.444444444444429,0.06572852861653102,,,,
denoising,MeanAccuracy,EXOCENTRIC,21.171428571428553,2.5274507327907775e-05,EASY-MEDIUM,53.5,0.27618520590056084,-0.007400000000000129
denoising,MeanAccuracy,EXOCENTRIC,21.171428571428553,2.5274507327907775e-05,EASY-HARD,17.0,0.004847272608650018,-0.010666669999999934
denoising,MeanAccuracy,EXOCENTRIC,21.171428571428553,2.5274507327907775e-05,MEDIUM-HARD,4.0,5.340576171875e-05,-0.011799990000000038
seperating,MeanAccuracy,EGOCENTRIC,32.44444444444443,9.011112354148948e-08,EASY-MEDIUM,21.0,0.00496445799767541,0.025000000000000022
seperating,MeanAccuracy,EGOCENTRIC,32.44444444444443,9.011112354148948e-08,EASY-HARD,0.0,0.00019609335453373022,0.0799999999999999
seperating,MeanAccuracy,EGOCENTRIC,32.44444444444443,9.011112354148948e-08,MEDIUM-HARD,0.0,7.62939453125e-06,0.04849999999999999
seperating,MeanAccuracy,EXOCENTRIC,30.333333333333314,2.5894072390642916e-07,EASY-MEDIUM,0.0,0.00019540793740897315,0.022999999999999965
seperating,MeanAccuracy,EXOCENTRIC,30.333333333333314,2.5894072390642916e-07,EASY-HARD,1.0,0.00023243237461975812,0.07700000000000001
seperating,MeanAccuracy,EXOCENTRIC,30.333333333333314,2.5894072390642916e-07,MEDIUM-HARD,16.0,0.00128936767578125,0.05049999999999999
denoising,MeanPrecision,EGOCENTRIC,34.111111111111086,3.9162132857691506e-08,EASY-MEDIUM,0.0,7.62939453125e-06,0.07623178999999991
denoising,MeanPrecision,EGOCENTRIC,34.111111111111086,3.9162132857691506e-08,EASY-HARD,0.0,7.62939453125e-06,0.14109789
denoising,MeanPrecision,EGOCENTRIC,34.111111111111086,3.9162132857691506e-08,MEDIUM-HARD,8.0,0.00019073486328125,0.06554303
denoising,MeanPrecision,EXOCENTRIC,34.111111111111086,3.9162132857691506e-08,EASY-MEDIUM,0.0,7.62939453125e-06,0.049864620000000026
denoising,MeanPrecision,EXOCENTRIC,34.111111111111086,3.9162132857691506e-08,EASY-HARD,0.0,7.62939453125e-06,0.10918345000000002
denoising,MeanPrecision,EXOCENTRIC,34.111111111111086,3.9162132857691506e-08,MEDIUM-HARD,17.0,0.00157928466796875,0.05221016999999989
seperating,MeanPrecision,EGOCENTRIC,32.44444444444443,9.011112354148948e-08,EASY-MEDIUM,30.0,0.0138702392578125,0.021654770000000045
seperating,MeanPrecision,EGOCENTRIC,32.44444444444443,9.011112354148948e-08,EASY-HARD,0.0,7.62939453125e-06,0.06761664
seperating,MeanPrecision,EGOCENTRIC,32.44444444444443,9.011112354148948e-08,MEDIUM-HARD,0.0,7.62939453125e-06,0.036749960000000026
seperating,MeanPrecision,EXOCENTRIC,30.333333333333314,2.5894072390642916e-07,EASY-MEDIUM,0.0,7.62939453125e-06,0.02590433000000003
seperating,MeanPrecision,EXOCENTRIC,30.333333333333314,2.5894072390642916e-07,EASY-HARD,1.0,1.52587890625e-05,0.07041336999999998
seperating,MeanPrecision,EXOCENTRIC,30.333333333333314,2.5894072390642916e-07,MEDIUM-HARD,18.0,0.00193023681640625,0.04518718999999999
denoising,MeanRecall,EGOCENTRIC,7.295774647887308,0.026046097659477022,EASY-MEDIUM,33.0,0.02221539887260256,0.04099999999999998
denoising,MeanRecall,EGOCENTRIC,7.295774647887308,0.026046097659477022,EASY-HARD,18.5,0.003512553308948211,0.037000000000000144
denoising,MeanRecall,EGOCENTRIC,7.295774647887308,0.026046097659477022,MEDIUM-HARD,56.0,0.33183160809268897,0.009000000000000008
denoising,MeanRecall,EXOCENTRIC,10.111111111111086,0.006373824764776901,EASY-MEDIUM,9.0,0.0008622512288342255,0.03899999999999998
denoising,MeanRecall,EXOCENTRIC,10.111111111111086,0.006373824764776901,EASY-HARD,19.0,0.0023345947265625,0.04299999999999998
denoising,MeanRecall,EXOCENTRIC,10.111111111111086,0.006373824764776901,MEDIUM-HARD,80.5,0.8275822790319564,-0.0010000000000000009
seperating,MeanRecall,EGOCENTRIC,26.77777777777777,1.5320729214991447e-06,EASY-MEDIUM,7.5,0.0006744750375115431,0.025999999999999912
seperating,MeanRecall,EGOCENTRIC,26.77777777777777,1.5320729214991447e-06,EASY-HARD,2.0,0.00027595416369927014,0.08599999999999997
seperating,MeanRecall,EGOCENTRIC,26.77777777777777,1.5320729214991447e-06,MEDIUM-HARD,8.0,0.000736675759382907,0.05600000000000005
seperating,MeanRecall,EXOCENTRIC,27.44444444444443,1.0977782183364015e-06,EASY-MEDIUM,21.0,0.004943933845345059,0.016000000000000014
seperating,MeanRecall,EXOCENTRIC,27.44444444444443,1.0977782183364015e-06,EASY-HARD,1.5,0.000253105065361946,0.07300000000000001
seperating,MeanRecall,EXOCENTRIC,27.44444444444443,1.0977782183364015e-06,MEDIUM-HARD,0.0,0.00019575042504300203,0.06
denoising,MeanF1Score,EGOCENTRIC,30.333333333333314,2.5894072390642916e-07,EASY-MEDIUM,1.0,1.52587890625e-05,0.07249951999999998
denoising,MeanF1Score,EGOCENTRIC,30.333333333333314,2.5894072390642916e-07,EASY-HARD,0.0,7.62939453125e-06,0.10641353999999997
denoising,MeanF1Score,EGOCENTRIC,30.333333333333314,2.5894072390642916e-07,MEDIUM-HARD,10.0,0.00032806396484375,0.04384237999999996
denoising,MeanF1Score,EXOCENTRIC,31.0,1.8553913626159797e-07,EASY-MEDIUM,0.0,7.62939453125e-06,0.06296272000000003
denoising,MeanF1Score,EXOCENTRIC,31.0,1.8553913626159797e-07,EASY-HARD,0.0,7.62939453125e-06,0.08219068000000002
denoising,MeanF1Score,EXOCENTRIC,31.0,1.8553913626159797e-07,MEDIUM-HARD,23.0,0.0047454833984375,0.023066650000000022
seperating,MeanF1Score,EGOCENTRIC,32.44444444444443,9.011112354148948e-08,EASY-MEDIUM,19.0,0.0023345947265625,0.024554600000000038
seperating,MeanF1Score,EGOCENTRIC,32.44444444444443,9.011112354148948e-08,EASY-HARD,0.0,7.62939453125e-06,0.07696277000000001
seperating,MeanF1Score,EGOCENTRIC,32.44444444444443,9.011112354148948e-08,MEDIUM-HARD,0.0,7.62939453125e-06,0.04958771000000006
seperating,MeanF1Score,EXOCENTRIC,30.333333333333314,2.5894072390642916e-07,EASY-MEDIUM,0.0,7.62939453125e-06,0.02278197999999998
seperating,MeanF1Score,EXOCENTRIC,30.333333333333314,2.5894072390642916e-07,EASY-HARD,1.0,1.52587890625e-05,0.07753436000000002
seperating,MeanF1Score,EXOCENTRIC,30.333333333333314,2.5894072390642916e-07,MEDIUM-HARD,14.0,0.0008392333984375,0.05098854999999991
denoising,MeanCompletionTime,EGOCENTRIC,13.0,0.0015034391929775717,EASY-MEDIUM,40.0,0.04827880859375,-3.818309899999999
denoising,MeanCompletionTime,EGOCENTRIC,13.0,0.0015034391929775717,EASY-HARD,14.0,0.0008392333984375,-9.921664999999997
denoising,MeanCompletionTime,EGOCENTRIC,13.0,0.0015034391929775717,MEDIUM-HARD,22.0,0.00400543212890625,-6.713336000000002
denoising,MeanCompletionTime,EXOCENTRIC,26.333333333333314,1.91332753524232e-06,EASY-MEDIUM,3.0,3.814697265625e-05,-8.946665300000003
denoising,MeanCompletionTime,EXOCENTRIC,26.333333333333314,1.91332753524232e-06,EASY-HARD,0.0,7.62939453125e-06,-13.131690000000008
denoising,MeanCompletionTime,EXOCENTRIC,26.333333333333314,1.91332753524232e-06,MEDIUM-HARD,28.0,0.010406494140625,-6.871680499999998
seperating,MeanCompletionTime,EGOCENTRIC,28.44444444444443,6.658361469857366e-07,EASY-MEDIUM,9.0,0.00025177001953125,-9.295068830000002
seperating,MeanCompletionTime,EGOCENTRIC,28.44444444444443,6.658361469857366e-07,EASY-HARD,0.0,7.62939453125e-06,-17.815111729999998
seperating,MeanCompletionTime,EGOCENTRIC,28.44444444444443,6.658361469857366e-07,MEDIUM-HARD,19.0,0.0023345947265625,-7.325121799999997
seperating,MeanCompletionTime,EXOCENTRIC,20.111111111111086,4.294649344652516e-05,EASY-MEDIUM,12.0,0.0005340576171875,-7.304942999999998
seperating,MeanCompletionTime,EXOCENTRIC,20.111111111111086,4.294649344652516e-05,EASY-HARD,6.0,0.0001068115234375,-11.873341100000001
seperating,MeanCompletionTime,EXOCENTRIC,20.111111111111086,4.294649344652516e-05,MEDIUM-HARD,33.0,0.02081298828125,-7.080043999999999
denoising,MeanDPrime,EGOCENTRIC,8.777777777777771,0.012414515466073169,EASY-MEDIUM,32.0,0.0182342529296875,0.15990003889859117
denoising,MeanDPrime,EGOCENTRIC,8.777777777777771,0.012414515466073169,EASY-HARD,25.0,0.0065765380859375,0.1055796866152654
denoising,MeanDPrime,EGOCENTRIC,8.777777777777771,0.012414515466073169,MEDIUM-HARD,65.0,0.39273834228515625,0.01010237598117869
denoising,MeanDPrime,EXOCENTRIC,7.0,0.0301973834223185,EASY-MEDIUM,22.0,0.00400543212890625,0.18311795286769006
denoising,MeanDPrime,EXOCENTRIC,7.0,0.0301973834223185,EASY-HARD,26.0,0.0076904296875,0.16102930684311167
denoising,MeanDPrime,EXOCENTRIC,7.0,0.0301973834223185,MEDIUM-HARD,59.0,0.2645263671875,-0.03395947839930036
seperating,MeanDPrime,EGOCENTRIC,32.44444444444443,9.011112354148948e-08,EASY-MEDIUM,18.0,0.00193023681640625,0.8335737088893032
seperating,MeanDPrime,EGOCENTRIC,32.44444444444443,9.011112354148948e-08,EASY-HARD,0.0,7.62939453125e-06,1.6988584938090994
seperating,MeanDPrime,EGOCENTRIC,32.44444444444443,9.011112354148948e-08,MEDIUM-HARD,0.0,7.62939453125e-06,0.9206306787663561
seperating,MeanDPrime,EXOCENTRIC,34.111111111111086,3.9162132857691506e-08,EASY-MEDIUM,0.0,7.62939453125e-06,0.8350833619524272
seperating,MeanDPrime,EXOCENTRIC,34.111111111111086,3.9162132857691506e-08,EASY-HARD,0.0,7.62939453125e-06,1.8046843023843615
seperating,MeanDPrime,EXOCENTRIC,34.111111111111086,3.9162132857691506e-08,MEDIUM-HARD,4.0,5.340576171875e-05,1.026839681232815
denoising,MeanBeta,EGOCENTRIC,4.111111111111086,0.12802169265485444,,,,
denoising,MeanBeta,EXOCENTRIC,5.333333333333314,0.06948345122280218,,,,
seperating,MeanBeta,EGOCENTRIC,5.333333333333314,0.06948345122280218,,,,
seperating,MeanBeta,EXOCENTRIC,0.44444444444442865,0.8007374029168144,,,,
denoising,MeanSpecificity,EGOCENTRIC,5.444444444444429,0.06572852861653102,,,,
denoising,MeanSpecificity,EXOCENTRIC,3.111111111111086,0.2110720877910929,,,,
seperating,MeanSpecificity,EGOCENTRIC,27.07042253521125,1.3235258715989133e-06,EASY-MEDIUM,30.0,0.0138702392578125,0.02200000000000002
seperating,MeanSpecificity,EGOCENTRIC,27.07042253521125,1.3235258715989133e-06,EASY-HARD,0.0,0.00029247830381213256,0.06800000000000006
seperating,MeanSpecificity,EGOCENTRIC,27.07042253521125,1.3235258715989133e-06,MEDIUM-HARD,10.0,0.0010060417742293623,0.04299999999999998
seperating,MeanSpecificity,EXOCENTRIC,28.140845070422532,7.749847112466996e-07,EASY-MEDIUM,0.0,0.0002919049007944203,0.027000000000000024
seperating,MeanSpecificity,EXOCENTRIC,28.140845070422532,7.749847112466996e-07,EASY-HARD,2.0,0.00027595416369927014,0.0729999999999999
seperating,MeanSpecificity,EXOCENTRIC,28.140845070422532,7.749847112466996e-07,MEDIUM-HARD,26.5,0.010176440395772814,0.046999999999999986
denoising,MeanTruePositive,EGOCENTRIC,7.295774647887308,0.026046097659477022,EASY-MEDIUM,33.0,0.02221539887260256,4.099999999999994
denoising,MeanTruePositive,EGOCENTRIC,7.295774647887308,0.026046097659477022,EASY-HARD,19.0,0.003757701502446051,3.6999999999999957
denoising,MeanTruePositive,EGOCENTRIC,7.295774647887308,0.026046097659477022,MEDIUM-HARD,57.5,0.368091226311409,0.9000000000000057
denoising,MeanTruePositive,EXOCENTRIC,10.111111111111086,0.006373824764776901,EASY-MEDIUM,9.0,0.0008610277704437636,3.9000000000000057
denoising,MeanTruePositive,EXOCENTRIC,10.111111111111086,0.006373824764776901,EASY-HARD,18.5,0.0035164560601527966,4.299999999999997
denoising,MeanTruePositive,EXOCENTRIC,10.111111111111086,0.006373824764776901,MEDIUM-HARD,81.0,0.8446102947853842,-0.10000000000000142
seperating,MeanTruePositive,EGOCENTRIC,26.77777777777777,1.5320729214991447e-06,EASY-MEDIUM,7.5,0.0006744750375115431,2.6000000000000014
seperating,MeanTruePositive,EGOCENTRIC,26.77777777777777,1.5320729214991447e-06,EASY-HARD,2.0,0.0002754926553275949,8.600000000000001
seperating,MeanTruePositive,EGOCENTRIC,26.77777777777777,1.5320729214991447e-06,MEDIUM-HARD,8.0,0.00019073486328125,5.600000000000001
seperating,MeanTruePositive,EXOCENTRIC,27.44444444444443,1.0977782183364015e-06,EASY-MEDIUM,21.0,0.004943933845345059,1.6000000000000085
seperating,MeanTruePositive,EXOCENTRIC,27.44444444444443,1.0977782183364015e-06,EASY-HARD,2.0,0.0002754926553275949,7.300000000000004
seperating,MeanTruePositive,EXOCENTRIC,27.44444444444443,1.0977782183364015e-06,MEDIUM-HARD,0.0,0.00019506589130048005,6.0
denoising,MeanFalsePositive,EGOCENTRIC,34.111111111111086,3.9162132857691506e-08,EASY-MEDIUM,0.0,0.00019575042504300203,-8.2
denoising,MeanFalsePositive,EGOCENTRIC,34.111111111111086,3.9162132857691506e-08,EASY-HARD,0.0,7.62939453125e-06,-18.3
denoising,MeanFalsePositive,EGOCENTRIC,34.111111111111086,3.9162132857691506e-08,MEDIUM-HARD,1.0,0.00023163740677081243,-10.5
