Task,Metric,Test,Statistic,p-value,Ego_Median,Exo_Median,Better,Shapiro_p
denoising,MeanAccuracy,Wilcoxon signed-rank,228.0,1.5908154103364825e-05,0.9358,0.95106668,EXOCENTRIC,1.6523647343142355e-05
seperating,MeanAccuracy,Wilcoxon signed-rank,321.0,0.00028401566993010015,0.938,0.968,EXOCENTRIC,2.731549650949605e-08
denoising,MeanPrecision,Wilcoxon signed-rank,185.0,1.5850999844742078e-06,0.84830893,0.89066785,EXOCENTRIC,8.613533281769944e-05
seperating,MeanPrecision,Wilcoxon signed-rank,560.0,0.11609794095275623,0.9554887000000001,0.96247039,EXOCENTRIC,1.9138547425810343e-08
denoising,MeanRecall,Wilcoxon signed-rank,520.0,0.08349495854785434,0.8720000000000001,0.8700000000000001,EGOCENTRIC,4.459062754661204e-07
seperating,MeanRecall,Wilcoxon signed-rank,389.0,0.016432053699625155,0.9339999999999999,0.9729999999999999,EXOCENTRIC,7.037664248181893e-06
denoising,MeanF1Score,Wilcoxon signed-rank,238.0,1.4000395569607814e-05,0.84351738,0.8673321,EXOCENTRIC,9.324711720014857e-06
seperating,MeanF1Score,Wilcoxon signed-rank,315.0,0.00023244114527972998,0.93694773,0.96758815,EXOCENTRIC,1.031759511362527e-08
denoising,MeanCompletionTime,Wilcoxon signed-rank,397.0,0.002931506530393503,52.755013,35.668385,EXOCENTRIC,8.381504764318385e-07
seperating,MeanCompletionTime,Wilcoxon signed-rank,399.0,0.00310034226501487,34.546582,25.168397,EXOCENTRIC,0.016651742980610063
denoising,MeanDPrime,Wilcoxon signed-rank,227.0,9.055963616719234e-06,2.8986678251307367,3.1510707048881352,EXOCENTRIC,0.0003804002464878848
seperating,MeanDPrime,Wilcoxon signed-rank,324.0,0.0003141103514515762,3.549934592678725,3.7523629488172565,EXOCENTRIC,1.5993978982607258e-05
denoising,MeanBeta,Wilcoxon signed-rank,646.0,0.4060380125135682,2.608586634815391,3.227685087537293,EXOCENTRIC,9.6191393780602e-06
seperating,MeanBeta,Wilcoxon signed-rank,564.0,0.12431194299369297,2.094854582231111,1.589418905145635,EGOCENTRIC,0.00011434559177002254
denoising,MeanSpecificity,Wilcoxon signed-rank,222.0,6.044825681608557e-05,0.9576923076923076,0.9702307692307692,EXOCENTRIC,3.4994741663923166e-07
seperating,MeanSpecificity,Wilcoxon signed-rank,550.0,0.14283777422798258,0.955,0.961,EXOCENTRIC,4.087466922364628e-10
denoising,MeanTruePositive,Wilcoxon signed-rank,520.5,0.08425284202279444,87.2,87.0,EGOCENTRIC,4.459062754661163e-07
seperating,MeanTruePositive,Wilcoxon signed-rank,388.0,0.015994532507512527,93.4,97.30000000000001,EXOCENTRIC,7.037664248182037e-06
denoising,MeanFalsePositive,Wilcoxon signed-rank,233.0,9.427802392810354e-05,15.0,11.2,EGOCENTRIC,4.710812439792246e-09
seperating,MeanFalsePositive,Wilcoxon signed-rank,545.5,0.13229957214286184,4.5,3.9,EGOCENTRIC,4.087466922364538e-10
