Task,Metric,DifficultyComparison,W,p-value,EgoDifference,ExoDifference
denoising,MeanAccuracy,EASY vs MEDIUM,59.0,0.2645263671875,0.007399999999999962,0.007400000000000129
denoising,MeanAccuracy,EASY vs HARD,82.0,0.8985748291015625,0.009066649999999954,0.010666669999999934
denoising,MeanAccuracy,MEDIUM vs HARD,60.0,0.28372955322265625,0.0071999899999999895,0.011799990000000038
seperating,MeanAccuracy,EASY vs MEDIUM,65.0,0.39273834228515625,-0.025000000000000022,-0.022999999999999965
seperating,MeanAccuracy,EASY vs HARD,73.5,0.6011634039422069,-0.0799999999999999,-0.07700000000000001
seperating,MeanAccuracy,MEDIUM vs HARD,75.0,0.9433841401947874,-0.04849999999999999,-0.05049999999999999
denoising,MeanPrecision,EASY vs MEDIUM,54.0,0.18146514892578125,-0.07623178999999991,-0.049864620000000026
denoising,MeanPrecision,EASY vs HARD,30.0,0.0138702392578125,-0.14109789,-0.10918345000000002
denoising,MeanPrecision,MEDIUM vs HARD,51.0,0.14151763916015625,-0.06554303,-0.05221016999999989
seperating,MeanPrecision,EASY vs MEDIUM,81.0,0.8650436401367188,-0.021654770000000045,-0.02590433000000003
seperating,MeanPrecision,EASY vs HARD,80.0,0.83172607421875,-0.06761664,-0.07041336999999998
seperating,MeanPrecision,MEDIUM vs HARD,64.0,0.3692169189453125,-0.036749960000000026,-0.04518718999999999
denoising,MeanRecall,EASY vs MEDIUM,70.0,0.522613525390625,-0.04099999999999998,-0.03899999999999998
denoising,MeanRecall,EASY vs HARD,82.5,0.8960390891377586,-0.037000000000000144,-0.04299999999999998
denoising,MeanRecall,MEDIUM vs HARD,67.0,0.44229888916015625,-0.009000000000000008,0.0010000000000000009
seperating,MeanRecall,EASY vs MEDIUM,30.0,0.027698502187323115,-0.025999999999999912,-0.016000000000000014
seperating,MeanRecall,EASY vs HARD,56.5,0.3436924061613127,-0.08599999999999997,-0.07300000000000001
seperating,MeanRecall,MEDIUM vs HARD,67.0,0.420316278368155,-0.05600000000000005,-0.06
denoising,MeanF1Score,EASY vs MEDIUM,83.0,0.932281494140625,-0.07249951999999998,-0.06296272000000003
denoising,MeanF1Score,EASY vs HARD,26.0,0.0076904296875,-0.10641353999999997,-0.08219068000000002
denoising,MeanF1Score,MEDIUM vs HARD,35.0,0.02684783935546875,-0.04384237999999996,-0.023066650000000022
seperating,MeanF1Score,EASY vs MEDIUM,65.0,0.39273834228515625,-0.024554600000000038,-0.02278197999999998
seperating,MeanF1Score,EASY vs HARD,67.0,0.44229888916015625,-0.07696277000000001,-0.07753436000000002
seperating,MeanF1Score,MEDIUM vs HARD,79.0,0.7987060546875,-0.04958771000000006,-0.05098854999999991
denoising,MeanCompletionTime,EASY vs MEDIUM,55.0,0.19638824462890625,3.818309899999999,8.946665300000003
denoising,MeanCompletionTime,EASY vs HARD,75.0,0.6705245971679688,9.921664999999997,13.131690000000008
denoising,MeanCompletionTime,MEDIUM vs HARD,76.0,0.7018814086914062,6.713336000000002,6.871680499999998
seperating,MeanCompletionTime,EASY vs MEDIUM,61.0,0.30379486083984375,9.295068830000002,7.304942999999998
seperating,MeanCompletionTime,EASY vs HARD,42.0,0.0599365234375,17.815111729999998,11.873341100000001
seperating,MeanCompletionTime,MEDIUM vs HARD,77.0,0.7337265014648438,7.325121799999997,7.080043999999999
denoising,MeanDPrime,EASY vs MEDIUM,75.0,0.6705245971679688,-0.15990003889859117,-0.18311795286769006
denoising,MeanDPrime,EASY vs HARD,82.0,0.8985748291015625,-0.1055796866152654,-0.16102930684311167
denoising,MeanDPrime,MEDIUM vs HARD,55.0,0.19638824462890625,-0.01010237598117869,0.03395947839930036
seperating,MeanDPrime,EASY vs MEDIUM,72.0,0.5798416137695312,-0.8335737088893032,-0.8350833619524272
