Task,Metric,Test,Statistic,p-value,Ego_Median,Exo_Median,Better,Shapiro_p
denoising,LassoInteractions,Wilcoxon signed-rank,595.0,0.5237850207642558,5.2,6.3,EXOCENTRIC,0.0030240039005535054
seperating,LassoInteractions,Wilcoxon signed-rank,558.5,0.11306653621481041,5.0,4.0,EGOCENTRIC,0.0002648536782917673
denoising,RaycastInteractions,Wilcoxon signed-rank,353.0,0.0036582224933331075,3.9,1.9,EGOCENTRIC,3.0691639151931706e-08
seperating,RaycastInteractions,Wilcoxon signed-rank,474.0,0.050201755170717094,2.0,1.2999999999999998,EGOCENTRIC,5.8549264417807975e-09
denoising,TotalLassoPoints,Wilcoxon signed-rank,437.0,0.00852790373741074,136.8,154.7,EXOCENTRIC,0.03406674814475772
seperating,TotalLassoPoints,Wilcoxon signed-rank,467.5,0.02812492798584614,194.9,199.7,EXOCENTRIC,0.0019745830167574867
denoising,TotalRaycastPoints,Wilcoxon signed-rank,353.0,0.0036582224933331075,3.9,1.9,EGOCENTRIC,3.0691639151931706e-08
seperating,TotalRaycastPoints,Wilcoxon signed-rank,474.0,0.050201755170717094,2.0,1.2999999999999998,EGOCENTRIC,5.8549264417807975e-09
denoising,LassoActionPercentage,Wilcoxon signed-rank,402.0,0.005514373546638066,0.7093323742540494,0.7978754578754579,EXOCENTRIC,0.019676961946922988
seperating,LassoActionPercentage,Paired t-test,-2.020067423371417,0.048443798748690495,0.78,0.851140350877193,EXOCENTRIC,0.6664910669540257
denoising,RaycastActionPercentage,Wilcoxon signed-rank,402.0,0.005514373546638066,0.2906676257459506,0.20212454212454212,EGOCENTRIC,0.01967696194692245
seperating,RaycastActionPercentage,Paired t-test,2.020067423371417,0.048443798748690495,0.21999999999999997,0.14885964912280703,EGOCENTRIC,0.6664910669540112
denoising,LassoPointsPercentage,Wilcoxon signed-rank,362.0,0.001751325078426822,0.9762990732228323,0.9881714214332236,EXOCENTRIC,9.013680699675842e-06
seperating,LassoPointsPercentage,Wilcoxon signed-rank,354.0,0.0008226189732226451,0.9855985299009105,0.9926744472371177,EXOCENTRIC,1.7001584015018954e-06
denoising,RaycastPointsPercentage,Wilcoxon signed-rank,362.0,0.001751325078426822,0.023700926777167862,0.011828578566776358,EGOCENTRIC,9.013680699676262e-06
seperating,RaycastPointsPercentage,Wilcoxon signed-rank,354.0,0.0008226189732226451,0.014401470099089632,0.007325552762882295,EGOCENTRIC,1.7001584015019462e-06
