TIMESTAMP,UserID,TaskID,ViewingCondition,Task,Difficulty,TaskPhase,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount,Precision,Recall,Accuracy,F1Score,CompletionTime
217.4203,1,1,EXOCENTRIC,denoising,EASY,training,95,125,25,5,0.7916667,0.95,0.88,0.8636364,78.50014
249.5537,1,2,EXOCENTRIC,denoising,EASY,training,93,134,16,7,0.853211,0.93,0.908,0.8899521,22.8667
288.9037,1,3,EXOCENTRIC,denoising,MEDIUM,training,90,370,30,10,0.75,0.9,0.92,0.8181818,33.46675
342.7371,1,4,EXOCENTRIC,denoising,HARD,test,73,613,37,27,0.6636364,0.73,0.9146667,0.6952381,42.31665
384.3205,1,5,EXOCENTRIC,denoising,MEDIUM,test,87,371,29,13,0.75,0.87,0.916,0.8055556,40.30008
425.3706,1,6,EXOCENTRIC,denoising,HARD,test,74,630,20,26,0.7872341,0.74,0.9386666,0.7628866,39.90005
445.3039,1,7,EXOCENTRIC,denoising,EASY,test,86,144,6,14,0.9347826,0.86,0.92,0.8958334,19.08334
487.754,1,8,EXOCENTRIC,denoising,HARD,test,69,625,25,31,0.7340425,0.69,0.9253333,0.7113402,41.46677
495.604,1,9,EXOCENTRIC,denoising,EASY,test,81,140,10,19,0.8901099,0.81,0.884,0.8481675,6.783325
501.904,1,10,EXOCENTRIC,denoising,EASY,test,80,140,10,20,0.8888889,0.8,0.88,0.8421053,5.333344
509.054,1,11,EXOCENTRIC,denoising,HARD,test,82,596,54,18,0.6029412,0.82,0.904,0.6949152,6.133331
645.3709,1,12,EXOCENTRIC,denoising,EASY,test,87,139,11,13,0.8877551,0.87,0.904,0.8787879,12.46667
663.6209,1,13,EXOCENTRIC,denoising,MEDIUM,test,89,365,35,11,0.7177419,0.89,0.908,0.7946429,17.1167
670.7543,1,14,EXOCENTRIC,denoising,MEDIUM,test,85,384,16,15,0.8415841,0.85,0.938,0.8457712,6.133362
686.6543,1,15,EXOCENTRIC,denoising,MEDIUM,test,87,366,34,13,0.7190083,0.87,0.906,0.7873303,14.50006
699.9709,1,16,EXOCENTRIC,denoising,MEDIUM,test,80,379,21,20,0.7920792,0.8,0.918,0.7960199,12.10004
705.7711,1,17,EXOCENTRIC,denoising,EASY,test,87,141,9,13,0.90625,0.87,0.912,0.8877551,4.86676
713.521,1,18,EXOCENTRIC,denoising,HARD,test,86,600,50,14,0.6323529,0.86,0.9146667,0.7288136,6.833374
762.821,1,19,EGOCENTRIC,denoising,EASY,training,80,126,24,20,0.7692308,0.8,0.824,0.7843137,22.28339
783.4044,1,20,EGOCENTRIC,denoising,EASY,training,90,130,20,10,0.8181818,0.9,0.88,0.8571428,16.31665
841.8545,1,21,EGOCENTRIC,denoising,MEDIUM,training,61,384,16,39,0.7922078,0.61,0.89,0.6892655,43.80005
865.4045,1,22,EGOCENTRIC,denoising,MEDIUM,test,0,400,0,100,0,0,0.8,0,2.400024
912.7379,1,23,EGOCENTRIC,denoising,EASY,test,69,141,9,31,0.8846154,0.69,0.84,0.7752809,44.31671
955.6713,1,24,EGOCENTRIC,denoising,HARD,test,68,630,20,32,0.7727273,0.68,0.9306667,0.7234042,41.83344
983.188,1,25,EGOCENTRIC,denoising,HARD,test,49,636,14,51,0.7777778,0.49,0.9133334,0.601227,26.51672
1038.588,1,26,EGOCENTRIC,denoising,HARD,test,80,549,101,20,0.4419889,0.8,0.8386667,0.5693951,54.58344
1076.172,1,27,EGOCENTRIC,denoising,EASY,test,73,140,10,27,0.8795181,0.73,0.852,0.7978142,36.68347
1109.472,1,28,EGOCENTRIC,denoising,EASY,test,72,138,12,28,0.8571429,0.72,0.84,0.7826087,32.25
1157.605,1,29,EGOCENTRIC,denoising,MEDIUM,test,76,381,19,24,0.8,0.76,0.914,0.7794872,47.41675
1200.238,1,30,EGOCENTRIC,denoising,EASY,test,87,125,25,13,0.7767857,0.87,0.848,0.8207547,40.16663
1210.155,1,31,EGOCENTRIC,denoising,MEDIUM,test,92,358,42,8,0.6865672,0.92,0.9,0.7863249,8.883301
1235.988,1,32,EGOCENTRIC,denoising,HARD,test,48,627,23,52,0.6760563,0.48,0.9,0.5614035,24.9668
1288.038,1,33,EGOCENTRIC,denoising,MEDIUM,test,69,368,32,31,0.6831683,0.69,0.874,0.6865672,51.01672
1315.489,1,34,EGOCENTRIC,denoising,MEDIUM,test,56,391,9,44,0.8615385,0.56,0.894,0.6787879,26.30005
1340.839,1,35,EGOCENTRIC,denoising,HARD,test,82,599,51,18,0.6165413,0.82,0.908,0.7038627,24.08337
1369.539,1,36,EGOCENTRIC,denoising,EASY,test,69,146,4,31,0.9452055,0.69,0.86,0.7976878,27.56677
1476.872,1,37,EXOCENTRIC,seperating,EASY,training,65,33,67,35,0.4924242,0.65,0.49,0.5603448,100.1168
1512.239,1,38,EXOCENTRIC,seperating,EASY,training,84,100,0,16,1,0.84,0.92,0.9130435,27.09998
1622.939,1,39,EXOCENTRIC,seperating,MEDIUM,training,77,99,1,23,0.9871795,0.77,0.88,0.8651685,65.91687
1653.172,1,40,EXOCENTRIC,seperating,EASY,test,83,100,0,17,1,0.83,0.915,0.9071038,11.86658
1705.556,1,41,EXOCENTRIC,seperating,MEDIUM,test,76,98,2,24,0.974359,0.76,0.87,0.8539326,51.3667
1753.722,1,42,EXOCENTRIC,seperating,MEDIUM,test,74,98,2,26,0.9736842,0.74,0.86,0.8409091,46.84998
1796.989,1,43,EXOCENTRIC,seperating,EASY,test,81,16,84,19,0.4909091,0.81,0.485,0.6113208,42.25
1837.939,1,44,EXOCENTRIC,seperating,EASY,test,67,100,0,33,1,0.67,0.835,0.8023952,39.66675
1862.539,1,45,EXOCENTRIC,seperating,HARD,test,76,100,0,24,1,0.76,0.88,0.8636364,23.43335
1918.606,1,46,EXOCENTRIC,seperating,EASY,test,69,35,65,31,0.5149254,0.69,0.52,0.5897436,55.25
1952.273,1,47,EXOCENTRIC,seperating,HARD,test,66,91,9,34,0.88,0.66,0.785,0.7542858,32.6167
2084.473,1,48,EXOCENTRIC,seperating,EASY,test,81,100,0,19,1,0.81,0.905,0.8950276,9.783447
2142.773,1,49,EXOCENTRIC,seperating,MEDIUM,test,81,99,1,19,0.9878049,0.81,0.9,0.8901099,57.3833
2186.806,1,50,EXOCENTRIC,seperating,HARD,test,70,93,7,30,0.9090909,0.7,0.815,0.7909604,42.8335
2232.873,1,51,EXOCENTRIC,seperating,HARD,test,60,40,60,40,0.5,0.6,0.5,0.5454546,44.7334
2279.123,1,52,EXOCENTRIC,seperating,MEDIUM,test,68,25,75,32,0.4755245,0.68,0.465,0.5596708,44.8501
2317.74,1,53,EXOCENTRIC,seperating,MEDIUM,test,79,18,82,21,0.4906832,0.79,0.485,0.605364,37.01685
2349.54,1,54,EXOCENTRIC,seperating,HARD,test,71,39,61,29,0.5378788,0.71,0.55,0.612069,30.3335
2414.707,1,55,EGOCENTRIC,seperating,EASY,training,72,8,92,28,0.4390244,0.72,0.4,0.5454545,48.78345
2505.64,1,56,EGOCENTRIC,seperating,EASY,training,74,31,69,26,0.5174825,0.74,0.525,0.6090535,79.76685
2567.657,1,57,EGOCENTRIC,seperating,MEDIUM,training,76,50,50,24,0.6031746,0.76,0.63,0.6725664,48.3667
2587.207,1,58,EGOCENTRIC,seperating,EASY,test,82,2,98,18,0.4555556,0.82,0.42,0.5857143,10.6499
2595.707,1,59,EGOCENTRIC,seperating,HARD,test,96,1,99,4,0.4923077,0.96,0.485,0.6508474,7.450195
2603.174,1,60,EGOCENTRIC,seperating,EASY,test,99,2,98,1,0.5025381,0.99,0.505,0.6666667,6.716797
2611.657,1,61,EGOCENTRIC,seperating,MEDIUM,test,87,6,94,13,0.480663,0.87,0.465,0.6192171,7.050049
2621.94,1,62,EGOCENTRIC,seperating,EASY,test,89,89,11,11,0.89,0.89,0.89,0.89,8.849854
2647.44,1,63,EGOCENTRIC,seperating,HARD,test,81,12,88,19,0.4792899,0.81,0.465,0.6022305,23.9668
2649.374,1,64,EGOCENTRIC,seperating,EASY,test,100,0,100,0,0.5,1,0.5,0.6666667,0.6000977
2677.94,1,65,EGOCENTRIC,seperating,HARD,test,83,18,82,17,0.5030303,0.83,0.505,0.6264151,27.8335
2922.557,1,66,EGOCENTRIC,seperating,MEDIUM,test,84,21,79,16,0.5153374,0.84,0.525,0.6387833,31.8501
2968.241,1,67,EGOCENTRIC,seperating,HARD,test,74,27,73,26,0.5034013,0.74,0.505,0.5991903,44.8667
2977.857,1,68,EGOCENTRIC,seperating,MEDIUM,test,100,13,87,0,0.5347593,1,0.565,0.6968641,8.416748
2992.541,1,69,EGOCENTRIC,seperating,HARD,test,86,10,90,14,0.4886364,0.86,0.48,0.6231884,13.7334
3013.324,1,70,EGOCENTRIC,seperating,MEDIUM,test,87,7,93,13,0.4833333,0.87,0.47,0.6214285,20
3020.641,1,71,EGOCENTRIC,seperating,MEDIUM,test,96,3,97,4,0.4974093,0.96,0.495,0.6552901,6.68335
3025.624,1,72,EGOCENTRIC,seperating,EASY,test,97,7,93,3,0.5105263,0.97,0.52,0.6689655,4.25
353.5038,2,1,EGOCENTRIC,seperating,EASY,training,100,97,3,0,0.9708738,1,0.985,0.9852216,241.7336
407.8372,2,2,EGOCENTRIC,seperating,EASY,training,100,100,0,0,1,1,1,1,46.65002
